driver,season,RMSE,bias,n_obs,n_lakes
NLDAS,overall,2.8502861554874346,0.6760240275582088,2350373,3688
NLDAS,winter,1.559698898379028,0.640011456357581,96597,737
NLDAS,spring,2.626272396310802,0.9040267934711054,677513,3631
NLDAS,summer,3.1817906497760475,0.7974000544995923,1128306,3686
NLDAS,fall,2.4839961994684923,0.0332269933433143,447957,3488
