season,RMSE,bias,n_obs,n_lakes
overall,2.700013415221551,-0.2757414436340344,453234.0,1503.0
spring,2.4562920762936833,-0.33844223022460795,130413.0,1116.0
summer,2.9676870882879265,-0.3185971832275394,234106.0,1400.0
fall,2.3802159409526817,-0.12239061355590763,73260.0,951.0
winter,1.617177793582205,-0.04306655883789068,15455.0,183.0
